culture,snippet,type,translation,status_signal,notes
South Asian,Love marriage,vocabulary,Marriage chosen by individuals without family involvement,Often loaded as less traditional or less stable,Marriage-process category
South Asian,Kundli matched,phrase,Astrological horoscopes were compared and approved,Traditional marriage-vetting process,Standard Hindu-tradition practice
South Asian,Same gotra,phrase,Same lineage clan — traditionally a problem for marriage,Specific traditional restriction,Marriage-restriction category
South Asian,She's a good Indian girl,phrase about a woman,She conforms to traditional expectations of femininity family loyalty and sexual restraint,Major approval phrase,Standard community approval
South Asian,She's a good Pakistani girl,phrase about a woman,Same as above for Pakistani family context,Major approval phrase,Standard community approval
South Asian,He's from a good family,phrase about a man,Family has standing money education and reputation,Major status approval,Standard probe-result
South Asian,Her family is well-settled,phrase about a woman,They're established in the US with stable professional lives,Major status approval,Standard probe-result
South Asian,He's well-placed,phrase about a man,He has a good professional position,Status approval,Standard probe-result
South Asian,She's homely,phrase about a woman,In South Asian English this means domestic and family-oriented (not unattractive) — it's a compliment in traditional context,Specific in-group meaning different from outside,Cultural-translation phrase
South Asian,She's fair,phrase about a woman,Light-skinned — considered a positive trait in colorist evaluation,Major colorism marker,Reflects harmful but operating preference
South Asian,He's a doctor,phrase about a man,Often the first thing mentioned — the entire status statement,Major status marker,Standard high-status profession
South Asian,He's working in IT,phrase about a man,Tech professional often H1B visa often middle-class,Standard tech-professional signal,Specific professional category
South Asian,They live in a joint family,phrase about a family,Traditional multi-generational household structure,Family-structure signal,Standard description
South Asian,She moved into the in-laws' house,phrase about a woman,Traditional patrilocal arrangement,Major traditional-family signal,Standard description
South Asian,The mother-in-law is very particular,phrase about an in-law,MIL has strict expectations often controlling daughter-in-law,Standard mother-in-law concern,Family-dynamics signal
South Asian,She doesn't go to her parents' house too much,phrase about a woman,She's been properly absorbed into her husband's family — considered virtuous in traditional framing,Standard traditional-virtue framing,Approval of absorption
South Asian,His mother runs the household,phrase about a family,MIL has authority over wife in joint family,Family-hierarchy signal,Standard description
South Asian,What will people say?,phrase,Community surveillance as control mechanism,Standard social-control framing,Major control mechanism
South Asian,Log kya kahenge?,phrase,Hindi/Urdu version of 'what will people say',Standard social-control framing,Same concept in original language
South Asian,That's not how things are done,phrase,Traditional norms are being invoked,Standard norm-enforcement,Common pattern
South Asian,He's a settled boy,phrase about a man,Established career and stability suitable for marriage,Standard marriage-criterion,Approval phrase
South Asian,She's adjusting,phrase about a woman,She's accepting her in-laws' authority and household structure,Praise for adaptation to traditional structure,Specific cultural framing
South Asian,She's not adjusting,phrase about a woman,She's resisting traditional in-law authority — and the resistance is being treated as her problem,Standard blame-the-DIL framing,Common pattern
South Asian,Sharam karo / have some shame,phrase,He's invoking shame as control mechanism,Standard cultural-shame deployment,Common control move
South Asian,Izzat / honor,vocabulary,Family honor as accumulated reputation property,Major control concept,Specific cultural framework
South Asian,She brought shame to the family,phrase about a woman,Her behavior damaged family reputation,Heavy patriarchal-family accusation,Common control framing
South Asian,It's against our culture,phrase,He's invoking culture as authoritative reason,Standard tradition-as-authority,Common control move
Chinese American,Where are your parents from?,question,He's asking which region — mainland China Taiwan Hong Kong each signal different waves and political identities,Mainland signals more recent post-1980s migration; Taiwan signals older pre-1990 diaspora often ROC identity; Hong Kong signals 1997-handover era migration,Major identity probe
Chinese American,What dialect do you speak?,question,He's asking which Chinese language — each signals different regional origin,Mandarin signals mainland Taiwan or north China; Cantonese signals Hong Kong Guangdong or older US Chinese; Hokkien signals Taiwan or Fujian; Shanghainese signals Shanghai,Major regional probe
Chinese American,Are you from the mainland or Taiwan or Hong Kong?,question,Direct political-cultural identification probe,Each has distinct political and cultural identity,Major identity probe
Chinese American,What did your parents do in China?,question,He's asking about family's class history before migration,Were they peasants who built up? Doctors who restarted? Business families? Shapes class narrative,Class-history probe
Chinese American,What do your parents do here?,question,He's asking about current family class,Restaurant or dry cleaning signals first-generation working-class; doctor or engineer signals middle-class; tech founder signals new wealth,Class probe
Chinese American,Where did you grow up?,question,He's asking which specific Chinese-American enclave or suburb,San Gabriel Valley LA Bay Area suburbs Cupertino Sunnyvale Flushing Sunset Park signal class and community; New York Chinatown signals working-class; specific suburbs signal middle-class,Major class-and-community probe
Chinese American,Where did you go to school?,question,He's asking which high school — magnet schools signal high-achiever,Stuyvesant Bronx Science Hunter signal NYC high-achiever; Lowell signals SF; specific magnet schools signal,Major class-and-achievement probe
Chinese American,What did you major in?,question,He's asking your degree — STEM acceptable humanities loaded,Standard immigrant achievement-orientation probe,Specific status probe
Chinese American,What do you do?,question,He's checking career — specific professions have status hierarchy,Doctor > lawyer > engineer/finance > consultant > business owner > other,Major status probe
Chinese American,Do you speak Mandarin?,question,He's asking whether you've retained the language — signals cultural maintenance,Speaking signals cultural connection; not speaking signals more Americanized,Cultural-maintenance probe
Chinese American,Did you go to Chinese school?,question,Saturday or Sunday Chinese school as parental investment in cultural transmission,Standard signal of parental cultural investment,Cultural-transmission probe
Chinese American,Beijing,lifestyle marker,Family from northern China — often political-class background,Signals northern cosmopolitan often political-class,Specific regional signal
Chinese American,Shanghai,lifestyle marker,Family from Shanghai — commercial elite,Signals commercial-elite background,Specific regional signal
Chinese American,Guangdong / Cantonese,lifestyle marker,Family from Guangdong province — older diaspora,Older US Chinese-American background (pre-1965 largely Cantonese),Specific regional signal
